Species,Size,Source
Accipiter cooperii,42,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Accipiter gentilis,53,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Accipiter striatus,28,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Agelaius phoeniceus,22,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aix sponsa,47,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Ammodramus caudacutus,13,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Ammodramus maritimus,15,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Anser albifrons,71,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aquila chrysaetos,76,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Arenaria interpres,24,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aythya affinis,42,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aythya americana,48,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aythya collaris,43,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aythya fuligula,43,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aythya marila,46,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Aythya valisineria,53,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Bartramia longicauda,30,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Botaurus lentiginosus,71,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Branta bernicla,64,"Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Branta canadensis,89,"64-114 cm ;Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord, 2006"
Branta leucopsis,69,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Bubulcus ibis,51,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Bucephala islandica,46,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Buteo jamaicensis,48,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Buteo lagopus,53,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Buteo lineatus,43,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Buteo platypterus,38,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Butorides virescens,46,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Camptorhynchus labradorius,NA,extinct species
Catharacta maccormicki,53,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159073#notes
Catharacta skua,58,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137170#notes
Cathartes aura,66,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Catoptrophorus semipalmatus,38,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Ceryle alcyon,33,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Charadrius melodus,18,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Charadrius semipalmatus,18,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Charadrius vociferus,27,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Chen caerulescens,71,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Chen rossii,58,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
Circus cyaneus,46,Guide Sibley Des oiseaux de l’Est de l’Amérique du Nord (2006)
