,DemersPelag
Accipiter cooperii,terrestrial
Accipiter gentilis,terrestrial
Accipiter striatus,terrestrial
Agelaius phoeniceus,marshes
Aix sponsa,freshwater
Alcidae,pelagic
Ammodramus caudacutus,terrestrial
Ammodramus maritimus,terrestrial
Aquila chrysaetos,terrestrial
Bartramia longicauda,terrestrial
Botaurus lentiginosus,freshwater
Bubulcus ibis,marshes
Buteo jamaicensis,terrestrial
Buteo lagopus,terrestrial
Buteo lineatus,terrestrial
Buteo platypterus,terrestrial
Catharacta maccormicki,pelagic
Catharacta skua,pelagic
Cathartes aura,pelagic
Catoptrophorus semipalmatus,coastal
Ceryle alcyon,pelagic
Chen caerulescens,freshwater
Chen rossii,freshwater
Circus cyaneus,terrestrial
Coragyps atratus,terrestrial
Corvus brachyrhynchos,terrestrial
Corvus corax,terrestrial
Coturnicops noveboracensis,marshes
Cygnus columbianus,freshwater
Cygnus cygnus,freshwater
Cygnus olor,freshwater
Eudocimus albus,marshes
Falco columbarius,terrestrial
Falco peregrinus,terrestrial
Falco rusticolus,terrestrial
Falco sparverius,terrestrial
Fulica americana,freshwater
Gallinago gallinago,marshes
Gallinula chloropus,marshes
Gaviidae,pelagic
Himantopus mexicanus,marshes
Hydrobatidae,pelagic
Ixobrychus exilis,marshes
Limnodromus griseus,marshes
Limnodromus scolopaceus,marshes
Limosa fedoa,coastal
Limosa haemastica,coastal
Limosa lapponica,coastal
Limosa limosa,coastal
Lontra canadensis,coastal
Lophodytes cucullatus,freshwater
Megaceryle alcyon,freshwater
Mycteria americana,marshes
Nyctanassa violacea,marshes
Nycticorax nycticorax,marshes
Oxyura jamaicensis,marshes
Pandion haliaetus,pelagic
Philomachus pugnax,coastal
Plegadis falcinellus,marshes
Podilymbus podiceps,coastal
Porphyrula martinica,freshwater
Porzana carolina,freshwater
Rallus elegans,marshes
Rallus limicola,marshes
Rallus longirostris,marshes
Recurvirostra americana,marshes
Scolopax minor,terrestrial
Scolopax rusticola,terrestrial
Sternidae,pelagic
Tryngites subruficollis,terrestrial
Vanellus vanellus,terrestrial
Actitis macularius,coastal
Alca torda,pelagic
Alle alle,pelagic
Anas acuta,coastal
Anas americana,coastal
Anas clypeata,coastal
Anas crecca,coastal
Anas crecca carolinensis,coastal
Anas discors,coastal
Anas penelope,coastal
Anas platyrhynchos,coastal
Anas querquedula,coastal
Anas rubripes,coastal
Anas strepera,coastal
Anser albifrons,freshwater
Ardea alba,marshes
Ardea herodias,marshes
Arenaria interpres,coastal
Aythya affinis,coastal
Aythya americana,coastal
Aythya collaris,coastal
Aythya fuligula,coastal
Aythya marila,coastal
Aythya valisineria,coastal
Branta bernicla,marshes
Branta canadensis,marshes
Branta leucopsis,marshes
Bucephala albeola,coastal
Bucephala clangula,coastal
Bucephala islandica,coastal
Butorides virescens,marshes
