species,sessile,crawler,swimmer,burrower,mobile,flying
Acanella arbuscula,1,0,0,0,0,0
Acanthephyra eximia,0,1,0,0,0,0
Acanthephyra purpurea,0,1,0,0,0,0
Acanthogorgia armata,1,0,0,0,0,0
Acipenser oxyrhynchus,0,0,0,0,1,0
Actiniidae,1,0,0,0,0,0
Actinostola,1,0,0,0,0,0
Agarum cribrosum,1,0,0,0,0,0
Agriopoma morrhuanum,1,0,0,0,0,0
Alaria esculenta,1,0,0,0,0,0
Alcyonium digitatum,1,0,0,0,0,0
Aldrovandia,0,0,0,0,1,0
Ammodytes,0,0,0,0,1,0
Ampelisca,0,0,1,0,0,0
Anomia,1,0,0,0,0,0
Anonyx,0,0,1,0,0,0
Anthomastus grandiflorus,1,0,0,0,0,0
Aphrodita hastata,0,0,0,1,0,0
Apristurus,0,0,0,0,1,0
Arbacia punctulata,0,1,0,0,0,0
Arenicola marina,0,0,0,1,0,0
Aristostomias,0,0,0,0,1,0
Arrhis phyllonyx,0,0,1,0,0,0
Artediellus,0,0,0,0,1,0
Ascophyllum nodosum,1,0,0,0,0,0
Aspidophoroides olriki,0,0,0,0,1,0
Astarte,1,0,0,0,0,0
Asterias,0,1,0,0,0,0
Astropecten americanus,0,1,0,0,0,0
Axius serratus,0,0,1,0,0,0
Bassogigas gilli,0,0,0,0,1,0
Bathylagus bericoides,0,0,0,0,1,0
Bathynectes longispina,0,1,0,0,0,0
Bathynectes maravigna,0,1,0,0,0,0
Bathypolypus,0,0,0,0,1,0
Bathypterois,0,0,0,0,1,0
Bolocera,1,0,0,0,0,0
Bothus,0,0,0,0,1,0
Buccinum,0,1,0,0,0,0
Caelorinchus caelorinchus,0,0,0,0,1,0
Calathura brachiata,0,0,1,0,0,0
Callionymus,0,0,0,0,1,0
Calliostoma occidentale,0,1,0,0,0,0
Caudina arenata,0,1,0,0,0,0
Centropristis striata,0,0,0,0,1,0
Cerastoderma pinnulatum,1,0,0,0,0,0
Chaceon quinquedens,0,1,0,0,0,0
Chaunax,0,0,0,0,1,0
Chiasmodon,0,0,0,0,1,0
Chrysogorgia agassizii,1,0,0,0,0,0
Cirroteuthis,0,0,0,0,1,0
Colossendeis,0,0,0,0,1,0
Colus,0,1,0,0,0,0
Conger,0,0,0,0,1,0
Conocara salmonea,0,0,0,0,1,0
Cookeolus boops,0,0,0,0,1,0
Cottunculus thompsoni,0,0,0,0,1,0
Dendronotus,0,1,0,0,0,0
Desmarestia aculeata,1,0,0,0,0,0
Dichelopandalus leptocerus,0,0,1,0,0,0
Echinus,0,1,0,0,0,0
Ensis directus,1,0,0,0,0,0
Epigonus,0,0,0,0,1,0
Euphausia,0,0,1,0,0,0
Flabellum,1,0,0,0,0,0
Flustra foliacea,1,0,0,0,0,0
Foetorepus agassizi,0,0,0,0,1,0
Fucus distichus,1,0,0,0,0,0
Fucus vesiculosus,1,0,0,0,0,0
Funiculina quadrangularis,1,0,0,0,0,0
Gaidropsarus,0,0,0,0,1,0
Gennadas,0,0,1,0,0,0
Gersemia fruticosa,1,0,0,0,0,0
Glycera capitata,0,0,0,1,0,0
Gnathophausia,0,0,1,0,0,0
Gonatus steenstrupi,0,0,0,0,1,0
Gorgonocephalus,0,1,0,0,0,0
Gymnelis viridis,0,0,0,0,1,0
Henricia,0,1,0,0,0,0
Heteropolypus,1,0,0,0,0,0
Histioteuthis reversa,0,0,0,0,1,0
Homola minima,0,1,0,0,0,0
Hyalinoecia tubicola,0,1,0,0,0,0
Icelus,0,0,0,0,1,0
Ichnopus,0,0,1,0,0,0
Idotea,0,0,1,1,0,0
Keratoisis ornata,1,0,0,0,0,0
Laminaria digitata,1,0,0,0,0,0
Laminaria longicruris,1,0,0,0,0,0
Leathesia difformis,1,0,0,0,0,0
Lebbeus zebra,0,0,1,0,0,0
Leptasterias,0,1,0,0,0,0
Limacina,0,0,0,0,1,0
Liopsetta putnami,0,0,0,0,1,0
Loligo pealeii,0,0,0,0,1,0
Lophaster furcifer,0,1,0,0,0,0
Lophelia pertusa,1,0,0,0,0,0
Lumpenus lumpretaeformis,0,0,0,0,1,0
Lumpenus maculatus,0,0,0,0,1,0
Lumpenus medius,0,0,0,0,1,0
Lycenchelys verrilli,0,0,0,0,1,0
Lycodes esmarki,0,0,0,0,1,0
Lycodes terraenova,0,0,0,0,1,0
Macrorhamphosus scolopax,0,0,0,0,1,0
Macrostomias longibarbatus,0,0,0,0,1,0
Margarites,0,1,0,0,0,0
Mastigoteuthis,0,0,0,0,1,0
Mediaster bairdi,0,1,0,0,0,0
Monstrilla,0,0,1,0,0,0
Munida iris,0,0,1,0,0,0
Musculus,1,0,0,0,0,0
Mycteroperca,0,0,0,0,1,0
Myoxocephalus,0,0,0,0,1,0
