species,Freq,aphiaID
Acanella arbuscula,17,125371
Acanthephyra eximia,1,564909
Acanthephyra purpurea,10,107582
Acanthogorgia armata,11,125348
Acipenser oxyrhynchus,6,157870
Actiniidae,37,100653
Actinostola,48,100709
Aega psora,4,118827
Agarum cribrosum,8,495975
Agriopoma morrhuanum,11,594424
Alaria esculenta,2,145716
Alcyonium digitatum,24,125333
Aldrovandia,3,125837
Aldrovandia affinis,11,126637
Aldrovandia phalacra,14,126638
Alepisaurus brevirostris,1,126332
Alepisaurus ferox,1,126333
Alepocephalus,1,125868
Alepocephalus agassizii,28,126681
Alepocephalus bairdii,10,126682
Alosa aestivalis,93,158667
Alosa pseudoharengus,2305,158669
Alosa sapidissima,880,158670
Amauropsis islandica,4,140521
Amblyraja jenseni,2,105864
Amblyraja radiata,6643,105865
Ammodytes,1912,125909
Ampelisca macrocephala,1,101908
Anarhichas denticulatus,52,126757
Anarhichas lupus,2323,126758
Anarhichas minor,35,126759
Anguilla rostrata,7,158562
Anomia,13,137650
Anomia simplex,3,156737
Anonyx,12,101592
Anonyx sarsi,1,102516
Anoplogaster cornuta,10,126393
Anotopterus pharao,4,126334
Anthias nicholsi,5,159344
Anthomastus grandiflorus,6,125335
Anthoptilum grandiflorum,16,128504
Antigonia capros,7,127418
Antimora rostrata,36,126486
Aphanopus carbo,3,127085
Aphrodita,482,129194
Aphrodita aculeata,1,129840
Aphrodita hastata,175,157181
Apristurus,19,105727
Apristurus laurussoni,8,298467
Apristurus manis,5,105808
Apristurus profundorum,4,158513
Arbacia punctulata,9,158058
Arcoscalpellum michelottianum,2,106182
Arctica islandica,82,138802
Arenicola marina,1,129868
Argentina silus,1461,126715
Argis dentata,375,107550
Argyropelecus,2,126196
Argyropelecus aculeatus,36,127306
Argyropelecus gigas,2,127308
Ariomma bondi,1,159592
Aristaeopsis edwardsiana,11,240796
Aristostomias,3,126201
Arrhis phyllonyx,4,102870
Arrhoges occidentalis,15,531617
Artediellus,1083,126147
Ascidiacea,1004,1839
Ascophyllum nodosum,64,145541
Aspidophoroides monopterygius,1665,159459
Aspidophoroides olriki,13,309267
Astarte,54,137683
Asterias,1752,123219
Asterias forbesi,218,158489
Astropecten americanus,68,158490
Astropecten duplicatus,1,178650
Atlantopandalus propinqvus,162,158351
Atolla wyvillei,2,135282
Aurelia aurita,6,135306
Axius serratus,23,158379
Bajacalifornia megalops,3,126687
Balanidae,9,106057
Balistes capriscus,1,154721
Bassogigas gilli,2,217793
Bathygadus melanobranchus,1,126463
Bathylagus,1,125888
Bathylagus bericoides,7,158720
Bathylagus euryops,32,126719
Bathynectes longispina,1,394995
Bathynectes maravigna,4,107377
Bathypolypus,1250,138265
Bathypterois,1,125669
Bathypterois dubius,1,126342
Bathypterois grallator,1,126343
Bathypterois longipes,2,126344
Bathypterois phenax,2,126345
