"","Size","species"
"1","20","Acanella arbuscula"
"2","7.225","Acanthephyra eximia"
"3","7.225","Acanthephyra purpurea"
"4","25","Acanthogorgia armata"
"8","403","Acipenser oxyrinchus"
"9","8","Actinauge"
"10","9.9","Actiniidae"
"11","10","Actinostola"
"12","19","Actitis macularius"
"13","3.47777777777778","Aega psora"
"14","50","Agarum cribrosum"
"16","6.7","Agriopoma morrhuanum"
"18","150","Alaria esculenta"
"19","45","Alca torda"
"20","30","Alcyonidium"
"21","20","Alcyonium digitatum"
"22","50.9666665395101","Aldrovandia"
"23","96","Alepisaurus brevirostris"
"24","215","Alepisaurus ferox"
"25","123","Alepocephalus agassizii"
"26","100","Alepocephalus bairdii"
"27","25","Alle alle"
"28","40","Alosa aestivalis"
"29","40","Alosa pseudoharengus"
"30","76","Alosa sapidissima"
"31","61","Aluterus schoepfii"
"32","112","Amblyraja hyperborea"
"33","74.25","Amblyraja jenseni"
"34","105","Amblyraja radiata"
"35","6","Amicula vestita"
"38","23.0833333333333","Ammodytes"
"39","1.95","Ampelisca"
"40","5","Amphiura"
"41","180","Anarhichas denticulatus"
"42","150","Anarhichas lupus"
"43","180","Anarhichas minor"
"44","38","Anas acuta"
"45","38","Anas americana"
"46","38","Anas clypeata"
"47","38","Anas crecca"
"48","38","Anas crecca carolinensis"
"49","38","Anas discors"
"50","38","Anas penelope"
"51","38","Anas platyrhynchos"
"52","38","Anas querquedula"
"53","38","Anas rubripes"
"54","38","Anas strepera"
"55","152","Anguilla rostrata"
"56","30","Anisarchus medius"
"57","4.273","Anomia"
"58","3","Anonyx"
"59","18","Anoplogaster cornuta"
"60","96","Anotopterus pharao"
"62","3.34285714285714","Antalis"
"63","25","Anthias nicholsi"
"64","10","Anthomastus grandiflorus"
"65","46","Anthoptilum grandiflorum"
"66","30.5","Antigonia capros"
"67","75","Antimora rostrata"
"68","151","Aphanopus carbo"
"69","7","Aphrodita hastata"
"70","69.8666667360248","Apristurus"
"72","4.7","Arbacia punctulata"
"73","10","Arcoscalpellum michelottianum"
"74","12.7","Arctica islandica"
"75","30","Arctozenus risso"
"76","130","Ardea alba"
"77","130","Ardea herodias"
"79","6.6","Arenicola marina"
"80","70","Argentina silus"
"81","9","Argis dentata"
"82","8.30000019073486","Argyropelecus aculeatus"
"83","12","Argyropelecus gigas"
"84","30","Ariomma bondi"
"85","19.2999992370605","Aristaeopsis edwardsiana"
"86","19.4500001271566","Aristostomias"
"87","1.75","Arrhis phyllonyx"
"88","4.5","Arrhoges occidentalis"
"89","9.1699999332428","Artediellus"
"90","7","Ascidiacea"
"91","150","Ascophyllum nodosum"
"92","22","Aspidophoroides monopterygius"
"93","8.60000038146973","Aspidophoroides olrikii"
"94","2.52454545454545","Astarte"
"95","51","Asterias"
"96","29","Astropecten americanus"
"97","29","Astropecten duplicatus"
"98","12.5","Atlantopandalus propinqvus"
"99","15","Atolla wyvillei"
"100","4","Aulacofusus brevicauda"
"101","50","Aurelia aurita"
"102","1","Axius serratus"
"109","40","Bajacalifornia megalops"
"110","1800","Balaena mysticetus"
"111","1070","Balaenoptera acutorostrata"
