"","Size","species"
"1","20","Acanella arbuscula"
"2","7.225","Acanthephyra eximia"
"3","7.225","Acanthephyra purpurea"
"4","25","Acanthogorgia armata"
"8","403","Acipenser oxyrinchus"
"9","8","Actinauge"
"10","9.9","Actiniidae"
"11","10","Actinostola"
"12","19","Actitis macularius"
"13","3.47777777777778","Aega psora"
"14","50","Agarum cribrosum"
"16","6.7","Agriopoma morrhuanum"
"18","150","Alaria esculenta"
"19","45","Alca torda"
"21","30","Alcyonidium"
"22","20","Alcyonium digitatum"
"23","50.9666665395101","Aldrovandia"
"24","96","Alepisaurus brevirostris"
"25","215","Alepisaurus ferox"
"26","123","Alepocephalus agassizii"
"27","100","Alepocephalus bairdii"
"28","25","Alle alle"
"29","40","Alosa aestivalis"
"30","40","Alosa pseudoharengus"
"31","76","Alosa sapidissima"
"32","61","Aluterus schoepfii"
"33","112","Amblyraja hyperborea"
"34","74.25","Amblyraja jenseni"
"35","105","Amblyraja radiata"
"36","6","Amicula vestita"
"39","23.0833333333333","Ammodytes"
"40","1.95","Ampelisca"
"41","5","Amphiura"
"42","180","Anarhichas denticulatus"
"43","150","Anarhichas lupus"
"44","180","Anarhichas minor"
"45","38","Anas acuta"
"46","38","Anas americana"
"47","38","Anas clypeata"
"48","38","Anas crecca"
"49","38","Anas crecca carolinensis"
"50","38","Anas discors"
"51","38","Anas penelope"
"52","38","Anas platyrhynchos"
"53","38","Anas querquedula"
"54","38","Anas rubripes"
"55","38","Anas strepera"
"56","152","Anguilla rostrata"
"57","30","Anisarchus medius"
"58","4.273","Anomia"
"59","3","Anonyx"
"60","18","Anoplogaster cornuta"
"61","96","Anotopterus pharao"
"63","3.34285714285714","Antalis"
"64","25","Anthias nicholsi"
"65","10","Anthomastus grandiflorus"
"66","46","Anthoptilum grandiflorum"
"67","30.5","Antigonia capros"
"68","75","Antimora rostrata"
"69","151","Aphanopus carbo"
"70","7","Aphrodita hastata"
"71","69.8666667360248","Apristurus"
"73","4.7","Arbacia punctulata"
"74","10","Arcoscalpellum michelottianum"
"75","12.7","Arctica islandica"
"76","30","Arctozenus risso"
"77","130","Ardea alba"
"78","130","Ardea herodias"
"80","6.6","Arenicola marina"
"81","70","Argentina silus"
"82","9","Argis dentata"
"83","8.30000019073486","Argyropelecus aculeatus"
"84","12","Argyropelecus gigas"
"85","30","Ariomma bondi"
"86","19.2999992370605","Aristaeopsis edwardsiana"
"87","19.4500001271566","Aristostomias"
"88","1.75","Arrhis phyllonyx"
"89","4.5","Arrhoges occidentalis"
"90","9.1699999332428","Artediellus"
"91","7","Ascidiacea"
"92","150","Ascophyllum nodosum"
"93","22","Aspidophoroides monopterygius"
"94","8.60000038146973","Aspidophoroides olrikii"
"95","2.52454545454545","Astarte"
"96","51","Asterias"
"97","29","Astropecten americanus"
"98","29","Astropecten duplicatus"
"99","12.5","Atlantopandalus propinqvus"
"100","15","Atolla wyvillei"
"101","4","Aulacofusus brevicauda"
"102","50","Aurelia aurita"
"103","1","Axius serratus"
"110","40","Bajacalifornia megalops"
"111","1800","Balaena mysticetus"
"112","1070","Balaenoptera acutorostrata"
