"","deposit","filter","grazer","parasite","plankton","predator","scavenger","suspension","xylophagous"
"Acanella arbuscula",0,0,0,0,0,0,0,0,0
"Acanthogorgia armata",0,0,0,0,0,0,0,0,0
"Actiniidae",0,0,0,0,0,0,0,0,0
"Actinostola",0,0,0,0,0,0,0,0,0
"Agarum cribrosum",0,0,0,0,0,0,0,0,0
"Agriopoma morrhuanum",0,0,0,0,0,0,0,0,0
"Alaria esculenta",0,0,0,0,0,0,0,0,0
"Anonyx",0,0,0,0,0,0,0,0,0
"Anthias nicholsi",0,0,0,0,0,0,0,0,0
"Anthomastus grandiflorus",0,0,0,0,0,0,0,0,0
"Aphrodita hastata",0,0,0,0,0,0,0,0,0
"Arbacia punctulata",0,0,0,0,0,0,0,0,0
"Arenicola marina",0,0,0,0,0,0,0,0,0
"Arrhis phyllonyx",0,0,0,0,0,0,0,0,0
"Ascophyllum nodosum",0,0,0,0,0,0,0,0,0
"Axius serratus",0,0,0,0,0,0,0,0,0
"Bajacalifornia megalops",0,0,0,0,0,0,0,0,0
"Bassogigas gilli",0,0,0,0,0,0,0,0,0
"Bathygadus melanobranchus",0,0,0,0,0,0,0,0,0
"Bathynectes longispina",0,0,0,0,0,0,0,0,0
"Bathynectes maravigna",0,0,0,0,0,0,0,0,0
"Bathytroctes microlepis",0,0,0,0,0,0,0,0,0
"Bolocera",0,0,0,0,0,0,0,0,0
"Caelorinchus caelorinchus",0,0,0,0,0,0,0,0,0
"Calathura brachiata",0,0,0,0,0,0,0,0,0
"Caudina arenata",0,0,0,0,0,0,0,0,0
"Chrysogorgia agassizii",0,0,0,0,0,0,0,0,0
"Cirroteuthis",0,0,0,0,0,0,0,0,0
"Colossendeis",0,0,0,0,0,0,0,0,0
"Conocara salmonea",0,0,0,0,0,0,0,0,0
"Dendronotus",0,0,0,0,0,0,0,0,0
"Desmarestia aculeata",0,0,0,0,0,0,0,0,0
"Dichelopandalus leptocerus",0,0,0,0,0,0,0,0,0
"Flabellum",0,0,0,0,0,0,0,0,0
"Foetorepus agassizi",0,0,0,0,0,0,0,0,0
"Fucus distichus",0,0,0,0,0,0,0,0,0
"Fucus vesiculosus",0,0,0,0,0,0,0,0,0
"Funiculina quadrangularis",0,0,0,0,0,0,0,0,0
"Gersemia fruticosa",0,0,0,0,0,0,0,0,0
"Gorgonocephalus",0,0,0,0,0,0,0,0,0
"Grammatostomias dentatus",0,0,0,0,0,0,0,0,0
"Grammicolepis brachiusculus",0,0,0,0,0,0,0,0,0
"Gymnelis viridis",0,0,0,0,0,0,0,0,0
"Halieutichthys aculeatus",0,0,0,0,0,0,0,0,0
"Heteropolypus",0,0,0,0,0,0,0,0,0
